,quality,article_length,num_wikilinks,num_external_links,num_images,info_noise,num_refs,num_headings
Red Tail Squadron,6.0,1696,288,41,8,0.3248820754716981,44,8
The Lord of the Rings: The Return of the King (video game),6.0,3634,554,89,3,0.25756741882223444,81,9
1960 Atlantic hurricane season,6.0,2717,310,41,15,0.24953993375046007,35,14
M-107 (Michigan highway),6.0,539,86,18,5,0.34879406307977734,11,9
Battle of Strasbourg,6.0,8937,544,2,18,0.20678079892581402,2,21
Typhoon Fitow,6.0,2082,347,48,4,0.31556195965417866,3,11
SMS Gefion,6.0,2471,226,2,4,0.3063537029542695,1,11
List of Knight's Cross of the Iron Cross recipients (W),6.0,918,3060,10,25,0.2875816993464052,149,6
Hurricane Juan (1985),6.0,2915,308,32,6,0.2641509433962264,2,11
Hurricane Lili (1996),6.0,2616,255,30,5,0.286697247706422,26,11
Sd.Kfz. 10,6.0,2914,272,6,8,0.28140013726835966,27,15
Operation Sandstone,6.0,2852,431,33,8,0.28330995792426367,9,16
Collins-class submarine,6.0,9239,919,74,14,0.20922177724861998,205,28
Ontario Highway 404,6.0,2240,292,36,8,0.25089285714285714,1,11
Livonian War,6.0,5622,1046,41,15,0.2570259694059054,2,22
Josef Wurmheller,6.0,1632,1207,8,7,0.2763480392156863,4,12
Battle of Fort Donelson,6.0,5224,594,23,20,0.2111408882082695,57,15
Yorktown-class gunboat,6.0,2057,235,14,4,0.2902284880894507,1,12
Donald Wilson (general),6.0,2154,289,21,4,0.29108635097493035,50,9
Olaudah Equiano,6.0,4412,599,42,8,0.25453309156844967,38,16
Rhode Island Route 4,6.0,1747,141,12,8,0.24499141385231826,22,7
Japanese battleship Kirishima,6.0,2925,312,11,8,0.26803418803418805,1,13
Annika Sörenstam,6.0,3660,925,207,5,0.25,134,29
1935 Jérémie hurricane,6.0,1934,224,34,4,0.36142709410548085,31,8
Operation Winter '94,6.0,3458,988,77,8,0.2498554077501446,73,11
Hurricane Debby (2000),6.0,2824,275,43,7,0.2613314447592068,2,12
15th Battalion (Australia),6.0,5147,506,21,7,0.221876821449388,111,15
List of United States Army campaigns during World War II,6.0,767,319,5,11,0.32985658409387225,1,15
Wolfgang Lüth,6.0,2029,1380,71,8,0.295219319862001,3,20
Lead(II) nitrate,6.0,1446,372,45,6,0.313969571230982,30,12
Kenneth Nichols,6.0,2207,333,21,8,0.29361123697326685,36,8
Effects of Hurricane Katrina in New Orleans,6.0,6724,486,112,24,0.23378941106484236,97,21
Rudolf Abel,6.0,3483,466,20,6,0.3000287108814241,70,10
Heuschrecke 10,6.0,727,185,11,3,0.36176066024759285,9,13
Erich Hartmann,6.0,5397,1905,29,11,0.25217713544561793,5,25
Glen P. Robinson,6.0,1533,225,46,1,0.35094585779517284,41,6
Battle of Cer,6.0,2905,565,27,4,0.28777969018932875,2,14
SMS Deutschland (1904),6.0,1921,181,6,4,0.2769390942217595,3,10
"Fort Bayard (Washington, D.C.)",6.0,2314,245,13,3,0.27657735522904064,31,9
California State Route 76,6.0,3576,378,48,8,0.22595078299776286,113,11
2nd Canadian Infantry Division,6.0,3597,425,19,6,0.266333055323881,78,18
Clarence Jeffries,6.0,1690,110,11,3,0.32189349112426036,15,8
Operation Copperhead,6.0,1388,279,4,3,0.30835734870317005,12,7
1906 Florida Keys hurricane,6.0,1205,211,23,4,0.3377593360995851,2,12
Bardanes Tourkos,6.0,1759,159,13,3,0.3274587833996589,24,7
Early thermal weapons,6.0,6187,779,9,9,0.241635687732342,134,25
Timeline of the 2014 Atlantic hurricane season,6.0,372,259,24,11,0.4032258064516129,3,12
History of Somalia,6.0,9357,1069,81,31,0.22870578176766057,126,36
Tropical Storm Harvey (1999),6.0,2016,258,30,4,0.32242063492063494,27,13
Philippe Leclerc de Hauteclocque,6.0,4881,606,54,59,0.27187051833640646,88,14
Yugoslav destroyer Dubrovnik,6.0,2297,296,5,3,0.2868959512407488,1,13
Lockheed D-21,6.0,1892,318,19,9,0.31553911205074,42,9
Somali Armed Forces,6.0,7771,1039,167,26,0.23664907991249517,177,30
No. 91 Wing RAAF,6.0,1809,215,9,4,0.28689883913764513,49,8
Paterson Clarence Hughes,6.0,2358,377,20,3,0.33587786259541985,81,9
"County Road 492 (Marquette County, Michigan)",6.0,1434,123,37,6,0.24267782426778242,25,7
Battle of Magersfontein,6.0,3777,454,30,20,0.25178713264495634,8,23
Lockheed AH-56 Cheyenne,6.0,3132,480,20,6,0.2669220945083014,5,15
Battle of Kehl (1796),6.0,3205,438,17,5,0.27769110764430577,2,15
Florida-class battleship,6.0,2549,292,13,8,0.282071400549235,24,17
1933 Tampico hurricane,6.0,1113,197,21,3,0.3468104222821204,2,6
Smolensk War,6.0,2289,543,9,9,0.32284840541721277,39,11
Typhoon Tingting,6.0,2240,306,55,6,0.2799107142857143,1,11
Battle of Marathon,6.0,6285,557,58,14,0.22386634844868736,122,23
Cyclone Forrest,6.0,1801,223,10,4,0.357023875624653,23,7
Willie Gillis,6.0,1648,263,50,4,0.3294902912621359,44,11
Australian light destroyer project,6.0,1762,166,12,3,0.28206583427922816,33,6
373rd (Croatian) Infantry Division (Wehrmacht),6.0,3452,833,20,2,0.23464658169177288,59,19
Utah State Route 68,6.0,1285,165,14,4,0.2396887159533074,14,8
Iron(III) chloride,6.0,890,299,27,8,0.3550561797752809,1,16
Eric Harrison (RAAF officer),6.0,1824,175,17,5,0.3157894736842105,23,7
SM U-68,6.0,915,145,18,0,0.3704918032786885,3,7
Bob Chappuis,6.0,3317,509,41,7,0.28730780826047636,56,15
Paul Wurtsmith,6.0,2227,268,22,7,0.31028289178266727,39,8
Acid dissociation constant,6.0,5757,581,52,13,0.1705749522320653,73,23
Army of the Tennessee,6.0,6659,673,30,16,0.19612554437603244,148,18
1954 Atlantic hurricane season,6.0,3071,403,72,26,0.2575708238358841,2,26
William F. Dean,6.0,4913,545,20,33,0.23610828414410748,1,21
Vitalian (general),6.0,1840,227,8,2,0.3298913043478261,31,10
1909 Monterrey hurricane,6.0,1526,164,14,4,0.30930537352555704,20,7
Łódź insurrection (1905),6.0,1483,318,18,9,0.3270397842211733,14,7
Battle of Fort Washington,6.0,2929,342,15,6,0.2512803004438375,47,12
Robotron: 2084,6.0,3004,336,35,3,0.2829560585885486,1,11
New Zealand Emissions Trading Scheme,6.0,6959,529,174,2,0.18494036499497055,143,49
Jacques Arcadelt,6.0,1859,219,12,1,0.3087681549220011,36,18
No. 3 Commando,6.0,3849,429,3,8,0.22577292803325538,8,14
List of Knight's Cross of the Iron Cross recipients (N),6.0,956,1114,10,6,0.27824267782426776,46,6
Helmut Wick,6.0,2425,1228,15,9,0.3080412371134021,6,14
Wilfred Arthur,6.0,1834,280,27,4,0.35223555070883317,49,8
House of Lancaster,6.0,4476,952,17,16,0.2732350312779267,84,18
First Battle of Naktong Bulge,6.0,2992,409,4,5,0.232620320855615,65,17
Mitchell Freeway,6.0,3431,539,56,10,0.21742932089769745,51,13
Abbasid invasion of Asia Minor (782),6.0,1937,267,14,1,0.31853381517811047,32,6
No. 81 Wing RAAF,6.0,2167,285,40,5,0.26349792339640055,59,8
Hurricane Connie,6.0,2377,333,39,6,0.26798485485906604,33,10
Robert Bacher,6.0,3232,478,25,12,0.27320544554455445,40,11
Tonkin Highway,6.0,3523,499,83,9,0.2055066704513199,2,17
Hurricane Eugene (1987),6.0,1134,164,17,4,0.3562610229276896,17,7
No. 86 Wing RAAF,6.0,2367,315,47,6,0.26024503591043513,75,7
National symbols of Romania,6.0,20,268,4,50,0.5,0,3
Hippolyte De La Rue,6.0,1812,207,20,3,0.3189845474613687,34,7
Battle of P'ohang-dong,6.0,3071,403,6,7,0.22142624552263107,48,16
Hurricane Arthur (2014),6.0,4796,579,105,13,0.2629274395329441,98,13
Military career of Keith Miller,6.0,6433,714,15,5,0.23394994559303592,177,9
List of Knight's Cross of the Iron Cross recipients (G),6.0,973,2618,10,28,0.27132579650565264,119,6
1993–94 South-West Indian Ocean cyclone season,6.0,4169,345,41,32,0.1731830175101943,4,22
Boeing B-52 Stratofortress,6.0,7385,1523,125,28,0.2705484089370345,9,32
List of Knight's Cross of the Iron Cross recipients (T),6.0,1057,1383,10,13,0.2857142857142857,62,7
7th Infantry Division (United States),6.0,5573,832,28,32,0.22626951372689755,2,26
U-5-class submarine (Austria-Hungary),6.0,1541,246,10,4,0.26151849448410125,3,10
Operation Coburg,6.0,3815,574,6,7,0.24246395806028834,5,14
Action of 28 January 1945,6.0,1482,153,4,2,0.2834008097165992,18,5
Juno Beach,6.0,8287,1153,31,21,0.18691927114758056,7,28
Ennis Whitehead,6.0,2364,282,28,8,0.2990693739424704,37,8
Operation Storm,6.0,11106,1867,216,17,0.1766612641815235,228,26
Wolf-Dietrich Wilcke,6.0,3885,1546,9,9,0.235006435006435,7,17
Baltimore–Washington Parkway,6.0,3303,551,50,7,0.23826824099303665,44,16
Rio de Janeiro bid for the 2016 Summer Olympics,6.0,4996,847,197,54,0.2586068855084067,177,12
Java War (1741–43),6.0,3197,404,5,2,0.2705661557710353,7,12
Operation Pleshet,6.0,6716,753,11,11,0.2226027397260274,1,16
1958 Atlantic hurricane season,6.0,3709,309,43,18,0.21191695874898894,38,18
Mikoyan-Gurevich MiG-3,6.0,2992,319,16,5,0.27941176470588236,32,15
Cyclone Lua,6.0,1891,324,43,4,0.358011634056055,45,7
Rudolf Frank,6.0,2163,1214,8,9,0.27045769764216365,4,14
Horses in warfare,6.0,8165,1273,90,27,0.214206981016534,5,43
"Battle of Gettysburg, Second Day",6.0,5929,370,8,12,0.2029009951087873,59,18
Egon Mayer,6.0,1673,1187,6,8,0.301255230125523,3,11
1933 Chesapeake–Potomac hurricane,6.0,2256,259,25,5,0.2779255319148936,2,8
1846 San Francisco de Borja hurricane,6.0,4128,371,13,7,0.2621124031007752,5,12
Byzantine–Sasanian War of 602–628,6.0,7209,979,130,12,0.2466361492578721,190,28
1909 Greater Antilles hurricane,6.0,988,127,22,2,0.32186234817813764,20,6
"Going, Going, Gone (Grey's Anatomy)",6.0,1926,258,38,4,0.34631360332294914,34,8
Tropical Storm Linda (1997),6.0,1304,167,26,4,0.35429447852760737,17,6
Frank Worsley,6.0,8561,539,16,11,0.20511622474010047,121,19
I Corps (United States),6.0,4409,468,24,22,0.22635518258108414,51,24
Hurricane Keith,6.0,3905,514,84,6,0.2612035851472471,69,11
Clare Stevenson,6.0,1939,200,19,5,0.31923671995874164,30,10
Final Fantasy VII,6.0,6746,762,154,5,0.23332345093388676,167,20
Hurricane Alice (June 1954),6.0,2338,219,22,3,0.2964071856287425,17,6
Camp Chapman attack,6.0,4029,706,135,6,0.2593695706130553,97,34
Elizabeth Cady Stanton,6.0,5716,949,56,12,0.23880335899230232,101,19
Battle of Ismailia,6.0,4867,283,12,12,0.19334292171769057,5,16
Hurricane Irene–Olivia,6.0,1398,187,32,5,0.3011444921316166,19,6
Hurricane Alma (1966),6.0,2003,222,23,5,0.2950574138791812,19,7
1973 Atlantic hurricane season,6.0,4226,311,38,24,0.1769995267392333,31,20
Casimir Pulaski,6.0,4338,495,68,15,0.2826187183033656,63,14
Battle of Vigo Bay,6.0,2734,280,9,5,0.2900512070226774,26,15
Bijeljina massacre,6.0,3452,767,72,3,0.2702780996523754,81,10
Effects of Hurricane Isabel in New Jersey,6.0,1144,132,25,4,0.34178321678321677,18,6
Hurricane Fernanda (1993),6.0,1081,123,16,4,0.3154486586493987,14,5
Battle of Battle Mountain,6.0,6224,490,3,8,0.17046915167095117,57,22
List of Knight's Cross of the Iron Cross recipients (E),6.0,873,1369,10,8,0.2943871706758305,53,6
Cyclone Nadia,6.0,1263,143,16,4,0.3333333333333333,15,6
Horace Robertson,6.0,3743,438,31,7,0.26289072936147473,59,14
STRAT-X,6.0,1302,160,13,10,0.3579109062980031,3,6
De Lackner HZ-1 Aerocycle,6.0,927,128,17,5,0.39913700107874867,15,9
Pokémon Red and Blue,6.0,3622,474,73,8,0.2609055770292656,77,15
Cyclone Firinga,6.0,1381,131,13,2,0.3236784938450398,4,6
Leonard Orban,6.0,2564,367,45,0,0.25585023400936036,36,9
Roza Shanina,6.0,3345,393,45,10,0.3082212257100149,2,12
Hans-Joachim Marseille,6.0,7620,2021,35,18,0.2363517060367454,15,25
Kongzi Jiayu,6.0,847,150,9,2,0.39433293978748524,20,8
Hyacinth Graf Strachwitz von Groß-Zauche und Camminetz,6.0,9670,1870,17,18,0.20868665977249223,7,24
Bombardment of Papeete,6.0,1586,169,12,7,0.3051702395964691,19,7
Hurricane Francelia,6.0,1704,156,19,4,0.30927230046948356,2,7
Georgia Tech traditions,6.0,6164,615,124,14,0.24707981829980533,120,45
Tucker-class destroyer,6.0,3149,365,24,9,0.206414734836456,5,16
SMS Mecklenburg,6.0,1805,187,10,4,0.3041551246537396,2,6
Effects of Hurricane Katrina in Florida,6.0,1904,231,27,8,0.2710084033613445,22,10
Peter Raw,6.0,2339,223,18,3,0.27661393758016245,37,5
Walter Bedell Smith,6.0,5857,635,39,52,0.24107905070855387,89,18
Tropical Depression Nineteen (1970),6.0,1118,181,26,4,0.3479427549194991,22,5
SS Timothy Bloodworth,6.0,1702,282,26,7,0.2796709753231492,2,7
80th Infantry (Reserve) Division (United Kingdom),6.0,1262,427,5,4,0.303486529318542,7,9
SS American (1900),6.0,1699,191,13,1,0.3113596233078281,1,10
1955 Atlantic hurricane season,6.0,4032,428,69,25,0.22718253968253968,58,21
SMS Pommern,6.0,1441,170,2,6,0.3240804996530187,3,8
Roman–Parthian War of 58–63,6.0,3858,493,51,9,0.26153447382063244,65,15
List of Knight's Cross of the Iron Cross recipients (O),6.0,902,735,10,7,0.2893569844789357,26,6
Michael J. Daly,6.0,1518,174,18,12,0.3412384716732543,1,11
Typhoon Ophelia,6.0,2352,236,15,5,0.30952380952380953,2,9
Typhoon Karen,6.0,3132,343,51,8,0.30427841634738184,1,10
List of World War I aces credited with 5 victories,6.0,244,1169,4,1,0.42213114754098363,356,3
SMS Cormoran (1892),6.0,2024,186,3,4,0.31274703557312256,1,9
List of Knight's Cross of the Iron Cross recipients (X–Z),6.0,929,841,10,5,0.2884822389666308,25,8
No. 84 Wing RAAF,6.0,1770,271,37,6,0.27175141242937856,57,6
MS West Honaker,6.0,2371,508,22,3,0.29481231547870096,4,9
Typhoon Bolaven (2012),6.0,3718,482,128,8,0.2724583109198494,3,19
Cyclone Ivy,6.0,1571,311,32,4,0.3227243793761935,22,7
Death in Heaven,6.0,2275,306,26,1,0.2989010989010989,13,7
102d Intelligence Wing,6.0,3940,1045,56,22,0.24416243654822334,38,22
Wikipedia talk:Introduction,6.0,147,42,3,4,0.5034013605442177,0,3
SM UB-45,6.0,1401,239,20,2,0.3240542469664525,7,7
Bastille,6.0,9753,912,59,30,0.22065005639290475,24,24
Hurricane Able (1952),6.0,1206,137,15,4,0.33001658374792703,13,5
First Macedonian War,6.0,2968,391,57,3,0.26516172506738545,52,14
Smedley Butler,6.0,6435,667,51,33,0.2445998445998446,3,32
Jon Burge,6.0,5279,663,187,4,0.25194165561659404,173,14
Roy Burston,6.0,3030,431,34,5,0.30066006600660067,54,11
Frederick E. Morgan,6.0,3653,405,25,3,0.28825622775800713,54,13
Battle of Lalakaon,6.0,1753,295,16,3,0.33371363377067886,35,8
Cyclone Hary,6.0,1304,151,19,3,0.3075153374233129,12,6
Operation Mole Cricket 19,6.0,3007,274,11,8,0.27835051546391754,45,10
Yugoslav torpedo boat T1,6.0,1459,177,5,1,0.3317340644276902,2,11
Petlyakov Pe-8,6.0,2875,428,16,2,0.30434782608695654,31,13
Battle of Bita Paka,6.0,3464,328,15,9,0.27742494226327946,4,18
Typhoon Wipha (2007),6.0,2347,273,51,7,0.2905837239028547,42,18
List of Knight's Cross of the Iron Cross recipients (Schu–Sz),6.0,992,4060,10,28,0.27419354838709675,169,6
Tropical Storm Thelma,6.0,3122,340,38,5,0.2863549007046765,1,9
Vikos–Aoös National Park,6.0,3495,437,43,17,0.30958512160228896,62,18
Halifax Explosion,6.0,5795,680,52,16,0.27144089732528043,152,18
South West Pacific Area (command),6.0,4949,551,39,7,0.22166094160436453,1,13
Frank Lukis,6.0,1860,252,39,5,0.30752688172043013,45,7
Timeline of the 1990 Pacific hurricane season,6.0,255,424,53,16,0.44313725490196076,2,12
Hurricane Epsilon,6.0,1695,188,36,5,0.26017699115044246,32,9
Cyclone Inigo,6.0,1065,229,12,4,0.3389671361502347,8,6
Flann Sinna,6.0,3019,301,20,5,0.2514077509108976,35,12
Help talk:Cheatsheet,6.0,1226,171,13,3,0.3401305057096248,0,24
Battle of Masan,6.0,7446,589,3,12,0.16680096696212732,95,20
Muhammad ibn Tughj al-Ikhshid,6.0,4553,352,14,4,0.23786514386119043,62,11
Jersey,6.0,7069,1170,129,28,0.26085726411090676,109,40
George Mackinolty,6.0,1744,210,21,4,0.3136467889908257,36,6
Titanium tetrachloride,6.0,1101,241,20,4,0.3578564940962761,12,17
Flatline (Doctor Who),6.0,1323,179,24,1,0.3310657596371882,14,7
Le Paradis massacre,6.0,2267,170,19,3,0.28760476400529333,32,9
Gordon Steege,6.0,1982,325,43,4,0.31836528758829463,51,9
Aluminium chloride,6.0,982,295,34,7,0.34317718940936864,16,12
Late Roman army,6.0,17704,1176,14,22,0.1596249435155897,328,65
SM UB-14,6.0,2883,389,36,11,0.28893513701005896,10,10
USS Kentucky (BB-6),6.0,1564,416,43,4,0.37851662404092073,63,12
Horner–Wadsworth–Emmons reaction,6.0,472,130,11,4,0.3983050847457627,23,11
Tay–Sachs disease,6.0,2851,472,132,4,0.2641178533847773,57,17
Effects of Hurricane Wilma in The Bahamas,6.0,1209,112,13,4,0.3349875930521092,14,7
Lewis McGee,6.0,1619,143,10,4,0.3119209388511427,14,8
"Puerto Rican constitutional referendum, 2012",6.0,2088,332,52,3,0.28975095785440613,49,14
Battle of Kalavrye,6.0,2009,147,7,6,0.29168740666998505,22,11
Hurricane Alma (1962),6.0,1153,136,14,4,0.3191673894189072,11,6
1997 Atlantic hurricane season,6.0,3014,287,54,20,0.2183145321831453,40,19
Dragon Quest,6.0,6805,786,151,9,0.20852314474650993,8,25
Utah State Route 103,6.0,971,103,30,5,0.2780638516992791,18,7
Hurricane Ida (2009),6.0,3817,441,89,9,0.23526329578202776,80,15
SS Black Osprey,6.0,1255,167,14,1,0.32270916334661354,2,7
SS Iowan,6.0,1976,299,29,4,0.32186234817813764,4,10
Hadong Ambush,6.0,2454,334,3,5,0.23838630806845965,34,12
Hurricane Cindy (1959),6.0,1508,225,30,5,0.3249336870026525,25,9
Battle of the Bowling Alley,6.0,5518,529,5,7,0.17669445451250454,60,21
1957 Atlantic hurricane season,6.0,3024,310,42,18,0.2347883597883598,2,15
Mewtwo,6.0,2763,404,43,2,0.2953311617806732,79,9
U.S. Route 12 in Washington,6.0,1841,402,26,8,0.2178164041281912,45,7
Armed Forces of Liberia,6.0,5683,552,79,7,0.24810839345416152,102,14
Delaware Route 9,5.0,2506,243,32,11,0.1596169193934557,27,12
Mounseer Nongtongpaw,5.0,1056,103,7,2,0.34375,18,7
2012–13 Harvard Crimson men's basketball team,5.0,979,328,34,3,0.33401430030643514,32,7
Daniel Dunglas Home,5.0,5918,686,45,10,0.24704291990537344,142,17
HMS Concorde (1783),5.0,1981,212,5,5,0.287228672387683,21,10
The 3rd Birthday,5.0,3475,208,75,2,0.2581294964028777,38,8
"Dance, Voldo, Dance",5.0,1046,115,13,2,0.31835564053537285,15,3
My Life as a 10-Year-Old Boy,5.0,1300,145,13,3,0.3376923076923077,26,8
Mystery Train (film),5.0,2670,281,43,2,0.3258426966292135,45,9
Geoffrey A. Landis,5.0,1049,216,70,1,0.3755958055290753,55,17
HMS Decoy (H75),5.0,1880,269,12,1,0.3021276595744681,1,8
Hebron glass,5.0,1395,235,20,4,0.35197132616487453,21,9
George Washington in the American Revolution,5.0,7743,908,42,17,0.21309569934134057,195,20
En Ami,5.0,2023,163,10,1,0.29461196243203164,14,8
HMS Ben-my-Chree,5.0,1427,440,9,7,0.36510161177295025,1,9
Charles M. Loring,5.0,1863,241,47,11,0.36231884057971014,43,14
Apple Inc. litigation,5.0,8772,1267,245,6,0.19721842225262198,257,62
Zenas Bliss,5.0,934,123,11,5,0.31156316916488225,6,9
The Boat Race 1899,5.0,620,309,10,8,0.3903225806451613,15,6
Donkey Kong Country,5.0,3056,374,44,7,0.27257853403141363,44,10
Maternal deprivation,5.0,5344,266,14,6,0.19498502994011976,53,16
George Rogers Clark National Historical Park,5.0,1317,264,15,18,0.33788914198936976,12,10
Saratoga campaign,5.0,7336,672,32,13,0.1977917121046892,143,26
Octavarium (album),5.0,2325,349,28,2,0.2812903225806452,40,12
Lesser kudu,5.0,2041,579,16,5,0.3111219990200882,16,10
Battle of Setauket,5.0,870,194,19,5,0.36091954022988504,16,7
Loved (video game),5.0,778,81,23,2,0.4305912596401028,11,6
Jeriome Robertson,5.0,1831,210,18,1,0.263790278536319,35,7
The Legend of Zelda (video game),5.0,3750,473,72,9,0.2736,1,14
2002 Scottish Challenge Cup Final,5.0,1883,439,39,4,0.22782793414763675,34,14
"John C. ""Pappy"" Herbst",5.0,1652,185,18,9,0.35108958837772397,25,6
Scott Niedermayer,5.0,2893,499,80,5,0.25475285171102663,83,16
Maman a tort,5.0,2441,433,38,5,0.29946743138058174,75,17
SM U-17 (Austria-Hungary),5.0,895,173,11,1,0.32625698324022345,3,6
Hurricane Emilia (1994),5.0,1079,191,21,5,0.33086190917516217,1,7
Maryland Route 12,5.0,1143,165,29,4,0.2510936132983377,29,11
De Materia Medica (Dioscorides),5.0,1950,429,51,9,0.35743589743589743,32,16
Stoicism,5.0,3061,943,50,4,0.2783404116301862,35,22
Economy of Scotland in the early modern era,5.0,2146,203,1,7,0.31873252562907733,23,14
Star Wars,5.0,7947,1364,181,9,0.2098905247263118,1,37
Polikarpov I-185,5.0,1004,179,3,1,0.37749003984063745,10,8
Jack Dormand,5.0,2564,294,39,0,0.3073322932917317,44,13
Smallpox,5.0,8376,955,168,23,0.23722540592168098,122,27
Blackledge River Railroad Bridge,5.0,895,152,16,2,0.2871508379888268,13,7
On My Way (Glee),5.0,3854,470,42,3,0.2690710949662688,42,10
Hoochie Coochie Man,5.0,3057,475,16,3,0.3019299967288191,9,7
SM U-68,5.0,915,145,18,0,0.3704918032786885,3,7
Black Canyon of the Gunnison National Park,5.0,2584,740,41,11,0.31772445820433437,31,10
God of War (comics),5.0,2132,187,22,2,0.27204502814258913,39,11
Maryland and Pennsylvania Railroad,5.0,1474,149,17,8,0.33717774762550884,16,8
Action of 13 September 1810,5.0,2755,178,4,2,0.2613430127041742,29,8
Mockingjay,5.0,2446,199,34,4,0.312346688470973,30,13
History of the Swiss Air Force,5.0,5801,547,41,63,0.25616273056369593,60,23
LW4 (classification),5.0,1724,169,25,2,0.20069605568445475,36,8
German submarine U-41 (1939),5.0,714,126,10,1,0.3697478991596639,9,11
Croup,5.0,1384,428,51,1,0.32803468208092484,19,18
Grand Theft Auto clone,5.0,2503,543,68,4,0.2908509788254095,63,10
Eva Braun,5.0,2045,392,13,5,0.3266503667481663,61,8
Adlington Hall,5.0,3025,291,31,4,0.24396694214876033,32,12
2007 Malaysian Grand Prix,5.0,2464,416,50,5,0.24391233766233766,45,12
Willow (film),5.0,2771,446,37,2,0.326957776975821,40,20
Typhoon Elsie (1989),5.0,1019,137,12,4,0.3326790971540726,8,6
La Luz del Mundo,5.0,5764,608,111,5,0.25312283136710617,161,34
Robinson Crusoe economy,5.0,2411,258,13,9,0.19203649937785153,10,14
Dan Bain,5.0,1228,130,17,3,0.3241042345276873,21,7
The Rocketeer (film),5.0,4196,482,42,4,0.2967111534795043,14,20
Big Man on Hippocampus,5.0,1549,177,20,3,0.3460296965784377,13,7
Thomas Trueblood,5.0,2422,146,18,3,0.30016515276630884,21,10
Teigan Van Roosmalen,5.0,990,370,30,2,0.28383838383838383,29,7
Winsor McCay,5.0,6955,1095,56,26,0.26642703091301223,5,22
Ryan Getzlaf,5.0,2443,440,59,3,0.2738436348751535,62,15
Lawrencium,5.0,2711,622,38,4,0.26632239026189597,29,12
Baldur's Gate II: Shadows of Amn,5.0,5025,916,82,4,0.2525373134328358,127,19
These Days: Live in Concert,5.0,598,184,24,1,0.3511705685618729,16,13
Hook Me Up (song),5.0,1293,240,30,1,0.31245166279969067,29,16
Nazarov cyclization reaction,5.0,1719,249,23,23,0.2873763816172193,27,15
Project Sylpheed,5.0,2562,315,47,6,0.3329430132708821,51,9
Stroudwater Navigation,5.0,3498,314,39,63,0.23470554602630075,46,15
SM UB-5,5.0,1214,237,20,3,0.37067545304777594,5,7
Etal Castle,5.0,1599,276,15,6,0.32707942464040024,1,11
Cyclone Agni,5.0,943,132,31,4,0.30858960763520676,28,5
Rush Street (Chicago),5.0,2458,405,44,34,0.2876322213181448,51,9
Ann Romney,5.0,4045,607,121,24,0.3008652657601978,103,16
Interstate 275 (Michigan),5.0,2486,323,47,8,0.26629123089300083,43,12
White House FBI files controversy,5.0,2330,236,38,7,0.27896995708154504,38,7
Insect,5.0,9835,1228,200,23,0.2057956278596848,120,49
Tara Teng,5.0,5178,717,107,10,0.26207029741212823,105,27
Gary Roberts (footballer born 1987),5.0,2546,365,98,2,0.2776904948939513,99,15
Margaritaville (South Park),5.0,2589,504,25,2,0.2703746620316725,18,10
Mississippi Highway 366 (Tishomingo County),5.0,282,62,13,1,0.3829787234042553,9,5
The Rain King,5.0,1818,163,10,2,0.3338833883388339,15,9
Typhoon Ma-on (2011),5.0,1306,215,51,4,0.34150076569678406,44,6
2/9th Battalion (Australia),5.0,2022,247,7,3,0.29080118694362017,3,10
New Brighton Tower,5.0,2403,290,56,4,0.33957553058676654,54,15
Architecture of Scotland in the Prehistoric era,5.0,1486,230,4,5,0.31157469717362046,33,6
Varagavank,5.0,1929,441,60,20,0.3468118195956454,1,15
Iori Yagami,5.0,2621,286,57,2,0.24837848149561237,69,9
M (James Bond),5.0,2181,437,28,6,0.3305823016964695,65,16
The Christmas Sessions,5.0,1214,219,21,1,0.2751235584843493,19,9
Ottawa dialect,5.0,4456,840,30,4,0.23361759425493717,175,25
Rihanna (book),5.0,799,138,21,2,0.3304130162703379,18,5
Kristins Hall,5.0,892,232,13,2,0.3172645739910314,16,6
Carlton Hill (Erie Railroad station),5.0,933,83,11,3,0.3172561629153269,13,8
Ken Livingstone,5.0,13486,1304,90,11,0.20969894705620643,333,30
Tracy Caulkins,5.0,1569,1388,57,6,0.26832377310388783,39,9
Limbs of the horse,5.0,2676,181,24,8,0.22720478325859492,30,10
What Makes You Beautiful,5.0,2853,775,178,4,0.28391167192429023,167,20
SMS Arminius,5.0,1501,171,3,0,0.36042638241172553,1,7
Wait Your Turn,5.0,1753,340,47,2,0.31888191671420424,44,13
Ramariopsis kunzei,5.0,669,182,23,2,0.4155455904334828,28,8
William George Malone,5.0,2713,213,9,6,0.27202359012163657,43,9
"David W. Mullins, Jr.",5.0,663,109,10,0,0.4132730015082956,23,7
2012 Alabama Crimson Tide football team,5.0,9643,1406,190,8,0.15576065539769782,184,41
Free Expression Policy Project,5.0,685,127,5,3,0.2832116788321168,22,7
Boredoms,5.0,1869,306,41,2,0.3451043338683788,27,11
Shahrbaraz,5.0,1971,300,21,3,0.2952815829528158,48,10
David L. Cook,5.0,1801,160,38,2,0.32981676846196556,30,12
History of Cornell University,5.0,7071,613,113,13,0.23631735256682224,137,20
Like a Virgin,5.0,6752,801,85,7,0.22985781990521326,129,21
French destroyer Mogador,5.0,1041,99,3,3,0.36023054755043227,11,6
Marmes Rockshelter,5.0,899,322,12,3,0.3882091212458287,22,9
2nd Army (Kingdom of Yugoslavia),5.0,1671,214,14,4,0.23518850987432674,3,11
